is_concurrent, repetition, pop_size, num_species, ms_step_mean
0,0,512,1,0.16262
0,0,512,2,0.301406
0,0,512,3,0.440613
0,0,512,4,0.577332
0,0,512,5,0.710532
0,0,512,6,0.84645
0,0,512,7,0.982643
0,0,512,8,1.11933
0,0,512,9,1.25579
0,0,512,10,1.39536
0,0,512,11,1.53226
0,0,512,12,1.67649
0,0,512,13,1.80575
0,0,512,14,1.94168
0,0,512,15,2.08779
0,0,512,16,2.22187
0,0,512,17,2.34631
0,0,512,18,2.49442
0,0,512,19,2.63267
0,0,512,20,2.75231
0,0,512,21,2.88799
0,0,512,22,3.02851
0,0,512,23,3.16771
0,0,512,24,3.31237
0,0,512,25,3.44069
0,0,512,26,3.57368
0,0,512,27,3.71095
0,0,512,28,3.85016
0,0,512,29,3.97628
0,0,512,30,4.11717
0,0,512,31,4.28222
0,0,512,32,4.3945
0,1,512,1,0.163299
0,1,512,2,0.300345
0,1,512,3,0.437419
0,1,512,4,0.573513
0,1,512,5,0.707447
0,1,512,6,0.845972
0,1,512,7,0.980909
0,1,512,8,1.12137
0,1,512,9,1.25668
0,1,512,10,1.39557
0,1,512,11,1.53737
0,1,512,12,1.67699
0,1,512,13,1.81492
0,1,512,14,1.94194
0,1,512,15,2.08036
0,1,512,16,2.21779
0,1,512,17,2.36053
0,1,512,18,2.49029
0,1,512,19,2.62816
0,1,512,20,2.76747
0,1,512,21,2.89411
0,1,512,22,3.03428
0,1,512,23,3.17114
0,1,512,24,3.30262
0,1,512,25,3.448
0,1,512,26,3.58114
0,1,512,27,3.71665
0,1,512,28,3.85312
0,1,512,29,3.9933
0,1,512,30,4.13482
0,1,512,31,4.26788
0,1,512,32,4.39739
0,2,512,1,0.163348
0,2,512,2,0.300865
0,2,512,3,0.437872
0,2,512,4,0.576249
0,2,512,5,0.710721
0,2,512,6,0.845951
0,2,512,7,0.981432
0,2,512,8,1.128
0,2,512,9,1.25904
0,2,512,10,1.39227
0,2,512,11,1.53534
0,2,512,12,1.66981
0,2,512,13,1.81251
0,2,512,14,1.96658
0,2,512,15,2.07956
0,2,512,16,2.20948
0,2,512,17,2.3563
0,2,512,18,2.49461
0,2,512,19,2.62601
0,2,512,20,2.76378
0,2,512,21,2.89694
0,2,512,22,3.03585
0,2,512,23,3.175
0,2,512,24,3.3148
0,2,512,25,3.4319
0,2,512,26,3.56632
0,2,512,27,3.72718
0,2,512,28,3.85393
0,2,512,29,3.99306
0,2,512,30,4.13204
0,2,512,31,4.26353
0,2,512,32,4.40215
1,0,512,1,0.162372
1,0,512,2,0.184795
1,0,512,3,0.202864
1,0,512,4,0.224834
1,0,512,5,0.246534
1,0,512,6,0.272276
1,0,512,7,0.288604
1,0,512,8,0.306918
1,0,512,9,0.328716
1,0,512,10,0.348578
1,0,512,11,0.36889
1,0,512,12,0.389381
1,0,512,13,0.41034
1,0,512,14,0.430774
1,0,512,15,0.450155
1,0,512,16,0.470749
1,0,512,17,0.492774
1,0,512,18,0.514718
1,0,512,19,0.535454
1,0,512,20,0.554057
1,0,512,21,0.576974
1,0,512,22,0.599354
1,0,512,23,0.617432
1,0,512,24,0.639966
1,0,512,25,0.66264
1,0,512,26,0.680908
1,0,512,27,0.704242
1,0,512,28,0.72948
1,0,512,29,0.749604
1,0,512,30,0.773681
1,0,512,31,0.792326
1,0,512,32,0.810806
1,1,512,1,0.163335
1,1,512,2,0.183629
1,1,512,3,0.203621
1,1,512,4,0.225325
1,1,512,5,0.246164
1,1,512,6,0.266788
1,1,512,7,0.287597
1,1,512,8,0.313561
1,1,512,9,0.330077
1,1,512,10,0.349806
1,1,512,11,0.368977
1,1,512,12,0.394646
1,1,512,13,0.415351
1,1,512,14,0.432154
1,1,512,15,0.449984
1,1,512,16,0.471976
1,1,512,17,0.495037
1,1,512,18,0.51286
1,1,512,19,0.535496
1,1,512,20,0.555347
1,1,512,21,0.577207
1,1,512,22,0.597097
1,1,512,23,0.620739
1,1,512,24,0.638757
1,1,512,25,0.659525
1,1,512,26,0.681518
1,1,512,27,0.703353
1,1,512,28,0.726119
1,1,512,29,0.749479
1,1,512,30,0.769129
1,1,512,31,0.791929
1,1,512,32,0.814361
1,2,512,1,0.164132
1,2,512,2,0.183299
1,2,512,3,0.204476
1,2,512,4,0.2254
1,2,512,5,0.246605
1,2,512,6,0.267332
1,2,512,7,0.287217
1,2,512,8,0.307205
1,2,512,9,0.329125
1,2,512,10,0.349362
1,2,512,11,0.370306
1,2,512,12,0.392171
1,2,512,13,0.41109
1,2,512,14,0.432674
1,2,512,15,0.452367
1,2,512,16,0.470108
1,2,512,17,0.493676
1,2,512,18,0.513092
1,2,512,19,0.534407
1,2,512,20,0.555668
1,2,512,21,0.576814
1,2,512,22,0.597722
1,2,512,23,0.618022
1,2,512,24,0.63832
1,2,512,25,0.658892
1,2,512,26,0.682867
1,2,512,27,0.703588
1,2,512,28,0.725778
1,2,512,29,0.746638
1,2,512,30,0.771867
1,2,512,31,0.792268
1,2,512,32,0.808864
