is_concurrent,repetition,pop_size,num_species,ms_step_mean
0,0,8192,1,1.997
0,0,8192,9,18.037
0,0,8192,17,34.399
0,0,8192,25,50.597
0,0,8192,33,66.775
0,0,8192,41,83.091
0,0,8192,49,99.464
0,0,8192,57,115.641
0,0,8192,65,131.924
0,0,8192,73,148.385
0,0,8192,81,164.690
0,0,8192,89,180.956
0,0,8192,97,197.255
0,0,8192,105,213.646
0,0,8192,113,230.023
0,0,8192,121,246.337
0,0,8192,129,262.489
1,0,8192,1,1.973
1,0,8192,9,2.472
1,0,8192,17,3.377
1,0,8192,25,4.313
1,0,8192,33,4.815
1,0,8192,41,5.918
1,0,8192,49,6.952
1,0,8192,57,7.515
1,0,8192,65,8.544
1,0,8192,73,9.566
1,0,8192,81,10.547
1,0,8192,89,11.194
1,0,8192,97,12.218
1,0,8192,105,13.193
1,0,8192,113,14.058
1,0,8192,121,14.889
1,0,8192,129,15.886
