is_concurrent,pop_size,num_species,mean_s_step_mean
0,512,1,0.000
0,512,2,0.001
0,512,3,0.001
0,512,4,0.001
0,512,5,0.001
0,512,6,0.002
0,512,7,0.002
0,512,8,0.002
0,512,9,0.002
0,512,10,0.003
0,512,11,0.003
0,512,12,0.003
0,512,13,0.003
0,512,14,0.004
0,512,15,0.004
0,512,16,0.004
0,512,17,0.005
0,512,18,0.005
0,512,19,0.005
0,512,20,0.005
0,512,21,0.006
0,512,22,0.006
0,512,23,0.006
0,512,24,0.006
0,512,25,0.007
0,512,26,0.007
0,512,27,0.007
0,512,28,0.007
0,512,29,0.008
0,512,30,0.008
0,512,31,0.008
0,512,32,0.009
1,512,1,0.000
1,512,2,0.000
1,512,3,0.000
1,512,4,0.001
1,512,5,0.001
1,512,6,0.001
1,512,7,0.001
1,512,8,0.001
1,512,9,0.001
1,512,10,0.001
1,512,11,0.001
1,512,12,0.001
1,512,13,0.002
1,512,14,0.002
1,512,15,0.002
1,512,16,0.002
1,512,17,0.002
1,512,18,0.002
1,512,19,0.002
1,512,20,0.002
1,512,21,0.003
1,512,22,0.003
1,512,23,0.003
1,512,24,0.003
1,512,25,0.003
1,512,26,0.003
1,512,27,0.003
1,512,28,0.003
1,512,29,0.003
1,512,30,0.004
1,512,31,0.004
1,512,32,0.004
